"Nº de registo";"Data da alteração";"Denominação";"Nº de contribuinte";"Marcas";"Localização (Endereço)";"Localização (Código postal)";"Localização (Localidade)";"Localização (Concelho)";"Localização (Distrito)";"ERT/DRT";"NUT II";"NUT III";"Contacto (Telef/Telem.)";"Contacto (Email)"
" 5954";"2016-10-12";"4u2enjoy";"513242929";;"Ninho de Empresas DNA CASCAIS, Cruz da Popa";"2645-449";"Alcabideche";"Cascais";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"+351913763131";"filipe.oliveira@4u2enjoy.pt"
" 2313";"2017-07-19";"5 Continentes - Viagens e Turismo, Lda.";"504797131";;"Rua dos Camilos,148, Edif Casa Amarela, R/C Bloco B";"5050-272";"Peso da Régua";"Peso da Régua";"Vila Real";"TURISMO DO DOURO";"Norte";"Douro";"254324440";"geral@5continentes.pt"
" 2493";"2013-05-02";"5 Locais - Agência de Viagens e Turismo, Unipessoal, Lda.";"506741397";;"RUA DOS CINCO CAMINHOS Nº 2";"4520-159";"Santa Maria da Feira";"Santa Maria da Feira";"Aveiro";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Área Metropolitana do Porto";"256382080, 256382080";"rosario.5locais@netvisao.pt, 5locais@netvisao.pt"
" 6868";;"5Gates, Lda.";"514273755";;"Rua dos Ilhéus 6";"9000-176";"Funchal";"Funchal";"Ilha da Madeira";"Secretaria Regional do Turismo e Transportes - RA Madeira";"Região Autónoma da Madeira";"Região Autónoma da Madeira";"291225019";"antonio.pereira@dixcart.com"
" 2634";"2017-06-21";"7 Mundos , Lda.";"507979249";"Best Travel";" Rua Avelar Brotero, nº 34";"3030-317";"Coimbra";"Coimbra";"Coimbra";"TURISMO DO CENTRO DE PORTUGAL";"Centro";"Região de Coimbra";"239797690";"coimbra.claudia@besttravel.pt"
" 5394";"2017-03-31";"A BORDO TOURS - SOCIEDADE TURÍSTICA LDA";"513418067";;"Avenida Diogo Leite, 438";"4400-111";"Vila Nova de Gaia";"Vila Nova de Gaia";"Porto";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Área Metropolitana do Porto";"223759042";"geral@abordotours.pt"
" 2162";"2017-01-26";"A Giromundo - Viagens e Turismo, Lda.";"503578754";;"Av Barjona de Freitas, 4";"4850-521";"Vieira do Minho";"Vieira do Minho";"Braga";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Ave";"253648671, 276249005, 253200100, 253632322";"info@giromundo.com, chaves@giromundo.com, braga@giromundo.com, giromundo_magalhaes@hotmail.pt"
" 2283";"2016-12-19";"A L Rua &amp; Filhos Lda";"504299492";;"Travessa do Cascalho, 8";"5400-190";"Chaves";"Chaves";"Vila Real";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Tâmega";"276325122";"a.l.rua_viagens_turismo@hotmail.com"
" 4360";;"A Lusitânia Gold Unipessoal, LDA";"509663869";;"Travessa de São João, n.º 14 , R/C Direito";"3830-737";"Gafanha da Nazaré";"Ílhavo";"Aveiro";"TURISMO DO CENTRO DE PORTUGAL";"Centro";"Região de Aveiro";"960134595";"alusitaniatur@gmail.com"
" 3539";"2017-06-16";"A Perfect Travel, Unipessoal, Lda.";"510312152";"A Perfect Travel First Things First";"Rua Sousa Martins, n.º 10 ";"1050-218";"Lisboa";"Lisboa";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"968892786";"paulolopes40@gmail.com"
" 2670";"2017-07-03";"A ROCHA - VIAGENS E TURISMO LDA";"508047820";;"Rua da Rainha, 40";"4800-431";"Guimarães";"Guimarães";"Braga";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Ave";"252 820 920, 253554504";"geral@avesviagens.com, geral@guimaraesviagens.com"
" 2272";"2017-02-24";"A T D - Algarve Travel &amp; Drivers Lda.";"504169840";"Algarve Drivers";"Urb. do Ramalheiro, Lt 2";"8400-497";"Porches";"Lagoa";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"282315000";"info@algarvedrivers.com"
" 2016";"2017-05-02";"A Tropical - Agência de Viagens  e Turismo, Lda.";"502691140";;"Rua Tenente Leonardo Meireles, 145";"4590-516";"Paços de Ferreira";"Paços de Ferreira";"Porto";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Tâmega e Sousa";"255862800, 255785185";"anabelasousa@turitropical.com, luisacastro@turitropical.com"
" 2719";"2017-01-31";"A. Coutinho II, Lda.";"506677567";;"Rua Conde Santiago Lobão, 278 - R/C ";"3720-282";"Oliveira de Azeméis";"Oliveira de Azeméis";"Aveiro";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Área Metropolitana do Porto";"256092095, 256418131";"geral@acoutinho.pt, susana@acoutinho.pt"
" 6253";"2017-06-05";"A. DAVID NUNES A., UNIPESSOAL LDA";"513934537";;"Rua Santo António 243c Casal do Rato- Pontinha";"1675-053";"Pontinha";"Odivelas";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"969854082";"adavidnunesa@live.com.pt"
" 2756";"2016-09-09";"A. J. &amp; Barros, Lda.";"503619043";"TR@VEL VIP";"Rua de Gatões, 1559";"4460-745";"Custóias Mts";"Matosinhos";"Porto";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Área Metropolitana do Porto";"965716721";"adaobarros@travelvip.pt"
" 3662";"2016-09-21";"A. M. - VIAGENS E TURISMO LDA";"511267894";;"Rua do Conde Canavial, 18, 1º";"9000-024";"Funchal";"Funchal";"Ilha da Madeira";"Secretaria Regional do Turismo e Transportes - RA Madeira";"Região Autónoma da Madeira";"Região Autónoma da Madeira";"291227471";"luiscarmo@netmadeira.com"
" 2413";"2017-06-01";"A.N.E. Tours - Agência de  Viagens e Turismo, Lda.";"506076750";"ANE TOURS";"Avenida Mário Brito nº 4524";"4455-494";"Perafita";"Matosinhos";"Porto";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Área Metropolitana do Porto";"229942667/8";"info@anetours.pt"
" 5413";"2017-04-26";"A22-Algarve Airport &amp; Golf Transfers, Unipessoal, Lda";"513431004";;"Quinta de S. Pedro Lote 30 Apart. D04";"8500-006";"Alvor";"Portimão";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"282418199";"andrez.fernandes@gmail.com"
" 6967";;"AAtrip Unipessoal LDA";"514404965";;"Rua Nossa Senhora Fatima 437";"4050-428";"Porto";"Porto";"Porto";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Área Metropolitana do Porto";"935888887";"filipe.zhu@gmail.com"
" 3150";"2016-11-08";"Abaixo a Monotonia -Turismo Unipessoal Lda";"508663946";;"Rua de Portugal Loja 29/31";"8100-554";"Loulé";"Loulé";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"289435125";"geral@abaixoamonotonia.com"
" 4130";"2016-12-29";"Abolir Fronteiras, lda.";"509151639";;"Rua do Carmo nº11 sala 3";"4700-309";"Braga";"Braga";"Braga";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Cávado";"+351253088554, 253067302";"braga@mercadodasviagens.pt, barcelos@mercadodasviagens.pt"
" 3856";"2017-01-02";"ABOUT DESTINY UNIPESSOAL, LDA";"509080308";;"Alameda de S. Dâmaso, C. C. São Francisco, Lj 21";"4810-286";"Guimarães";"Guimarães";"Braga";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Ave";"253433529";"guimaraes@qviagem.com"
" 4771";;"Absolut Travel ,Lda";"513172432";;"Rua de dunfermline -Edificio Mar do Sul ,Loja P ";"8200-278";"Albufeira";"Albufeira";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"962149177";"absolutravel.portugal@gmail.com"
" 4984";"2017-01-04";"ABSOLUTLY FAVOURABLE, UNIPESSOAL LDA";"513263209";;"Vila Panteão, Lote 223, Apartamento 203, Fração B ";"8200-347";"Albufeira";"Albufeira";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"282312807";"antonio.globalvista@gmail.com"
" 4474";"2017-02-27";"ABSOLUTSPLENDOR UNIPESSOAL LDA";"510988784";;"Residencias Portas da Rocha, lote 6, loja 3";"8500-804";"Portimão";"Portimão";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"282490180";"info@travelsplendor.pt"
" 2624";"2016-06-09";"ACM Travel, Unipessoal, Lda.";"507992733";;"Rua Infante D. Henrique, 38";"4050-296";"Porto";"Porto";"Porto";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Área Metropolitana do Porto";"222071560, 222071560";"reservas@acmtravel.pt, reservas@acmtravel.pt"
" 3542";"2016-12-29";"AÇORIBERICA-AGENCIA DE VIAGENS E TURISMO, LDA.";"512050171";;"RUA BENTO JOSE MORAIS, 11 R/c";"9500-772";"Ponta Delgada";"Ponta Delgada";"Ilha de São Miguel";"Direcção Regional do Turismo - Secretaria Regional Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";"296205750";"info@acoriberica.pt"
" 1859";"2016-12-22";"Acp - Viagens e Turismo, Lda.";"501179488";"A.C.P.";"Rua Rosa Araújo, nº 24";"1250-195";"Lisboa";"Lisboa";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"217991200, 223239042, 239852020, 222076340, 213841070";"catarina.rocha@acp-viagens.pt, claudia.barbosa@acp-viagens.pt, gilda.aleixo@acp.pt, porto@acp-viagens.pt, amoreiras@acp-viagens.pt"
" 2566";"2017-07-11";"Across - Luxury Travel &amp; Safaris, Lda.";"507194802";;"Campo Grande 220 B";"1700-094";"Lisboa";"Lisboa";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"217817470";"travel@across.pt"
" 4201";"2017-08-09";"Activescore Agência de Viagens Lda";"510787320";"lisbontransfers";"Rua António Sérgio nº9C - R/C Loja - Edifício Xira Rio";"2600-105";"Vila Franca de Xira";"Vila Franca de Xira";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"963700364";"info@lisbontransfers.pt"
" 2526";"2017-06-08";"Ad Médic Tours - Viagens e Turismo, Lda.";"507215478";"Ad Médic Tours";"Calçada de Arroios, 16 D";"1000-027";"Lisboa";"Lisboa";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"218418950, 21 829 77 80";"paula.cordeiro@admedictours.pt, paula.cordeiro@admedictours.pt"
" 6852";;"ADMIRABLE - VIAGENS E TURISMO, UNIPESSOAL LDA";"514363789";;"Rua Vasco Santana n 18 1esq";"2620-362";"Ramada";"Odivelas";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"919972717";"japalipio@gmail.com"
" 3644";"2016-09-21";"ADRAGATOUR SERVIÇOS TURISTICOS LDA";"508662672";"CAPITAL TRAVEL";"RUA MANUEL MARQUES, 15 B";"1750-169";"Lisboa";"Lisboa";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"210360161";"adragatour@gmail.com"
" 5595";;"Adrenalina PT Unipessoal Lda";"513526129";"Portugal Sport and Adventure, Portugal Sailing";"Rua Forte Novo, Edf Parque Atlantico A3 R/C Dto";"8125-214";"Quarteira";"Loulé";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"910690926";"helen@portugal-sport-and-adventure.com"
" 6132";"2016-12-21";"ADS TRANSFERS E TOURS, LDA";"513841822";;"Rua Nuno Tristão, 54";"1400-256";"Lisboa";"Lisboa";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"917302081";"jmseabramarto@gmail.com"
" 5953";"2016-10-24";"Advantage Inspire - Turismo e Consultoria, Lda";"513699880";"Top Incoming";"Rua Dr David Mourão Ferreira, 9";"3100-382";"Pombal";"Pombal";"Leiria";"TURISMO DE LEIRIA-FÁTIMA";"Centro";"Região de Leiria";"916664799, 916664799";"pedro.valido@topincoming.com, pedro.valido@topincoming.com"
" 6072";"2016-12-12";"Adventroopers, Lda";"513361740";;"Rua António Joaquim das Neves Loja 10";"2710-422";"Sintra";"Sintra";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"969162200";"adventroopers@gmail.com"
" 6669";;"Advice Steffen Lda";"513993363";"Celiviagens, Celiviagens";"RUA PROFESSOR BENTO JESUS CARAÇA, 248 - 1.º ANDAR SALA 2, PARANHOS, PORTO";"4200-128";"Porto";"Porto";"Porto";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Área Metropolitana do Porto";"933153192";"info@viagem-solteiros.pt"
" 5884";"2016-11-07";"ADVS Unipessoal, Lda.";"513496394";;"Rua Heróis do Ultramar, 7 - 1º Andar";"2630-112";"Arruda dos Vinhos";"Arruda dos Vinhos";"Lisboa";"TURISMO DO OESTE";"Centro";"Oeste";"919568901";"info@advmototours.pt"
" 6504";"2017-08-03";"AEROCOOPE SOC COOP ASSISTENCIA TRANSPORTE AEREOS CRL";"500306478";;"Rua Padre Américo, nº4A";"1600-548";"Lisboa";"Lisboa";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"218400121";"info@aerocoope.com"
" 3526";"2017-01-09";"Aerohorta Agência de Viagens e Turismo, Lda.";"512047952";;"Rua Conselheiro Medeiros, 2";"9900-144";"Horta";"Horta";"Ilha do Faial";"Direcção Regional do Turismo - Secretaria Regional Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";"292208130, 292672660";"m.furtado@aerohorta.com, eamaral@aerohorta.com"
" 1918";"2016-11-21";"Aerosoltur - Agência de Viagens  e Turismo, Lda.";"501534172";;"Rua 26, 667";"4500-282";"Espinho";"Espinho";"Aveiro";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Área Metropolitana do Porto";"227313096";"aerosoltur@mail.pt"
" 5451";;"AEROTRAVEL-VIAGENS E TURISMO, UNIPESSOAL, LDA";"513238395";;"Av. da República, nº 2062 r/c - Mafamude - Vila Nova de Gaia";"4430-195";"Vila Nova de Gaia";"Vila Nova de Gaia";"Porto";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Área Metropolitana do Porto";"922099515";"helenasimaomario@gmail.com"
" 3421";"2017-01-24";"Agência Açoreana de Viagens";"512005290";;"Rua de Lisboa - Edifício Varela s/n";"9500-216";"Ponta Delgada";"Ponta Delgada";"Ilha de São Miguel";"Direcção Regional do Turismo - Secretaria Regional Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";"296301864";"margarida.cabral@bensaude.pt"
" 1726";"2017-05-11";"Agência Castro - Viagens e Turismo, Lda.";"501251430";;"Rua Almirante Reis, 1";"4490-463";"Póvoa de Varzim";"Póvoa de Varzim";"Porto";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Área Metropolitana do Porto";"252622259";"dias@viagenscastro.com"
" 1753";"2016-01-05";"Agência de  Viagens e Turismo S. Nicolau, Lda.";"500307083";"UTC Viagens";"Av Dr. Moreira de Sousa, n.º 805 ";"4415-384";"Pedroso";"Vila Nova de Gaia";"Porto";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Área Metropolitana do Porto";"227860784, 296 306777, 296 288 022";"utcviagens@utc.pt, reservas.acores@utc.pt, reservas.acores@utc.pt"
" 1783";"2013-03-28";"Agência de Viagens  Central Tirsense, Lda.";"501133216";;"Praça Camilo Castelo Branco, 14";"4780-374";"Santo Tirso";"Santo Tirso";"Porto";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Área Metropolitana do Porto";"252852293";"central_tirsense@oninet.pt"
" 2065";"2016-12-28";"Agência de Viagens  D. João V, Lda.";"503129887";;"Rua dos Bombeiros Voluntários, Edifício GPS, Loja E";"3105-165";"Louriçal";"Pombal";"Leiria";"TURISMO DE LEIRIA-FÁTIMA";"Centro";"Região de Leiria";"236962230";"comercial@djoaov.com.pt"
" 2064";"2017-01-25";"Agência de Viagens  e Turismo da Lousada, Lda.";"503111627";;"Praça das Pocinhas nº9";"4620-657";"Lousada";"Lousada";"Porto";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Tâmega e Sousa";"255814009";"viagens.lousada@sapo.pt"
" 2390";"2017-07-25";"Agência de Viagens  e Turismo Miralgarve, Lda.";"504809601";;"Av 12 de Julho";"8200-559";"Ferreiras";"Albufeira";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"289572963";"miralgarve@sapo.pt"
" 1844";"2017-01-11";"Agência de Viagens  e Turismo Paraiso, Lda.";"501083960";;"Rua Anibal Beleza, Edifício Via Romana, R/C Dtº. Norte";"3720-251";"Oliveira de Azeméis";"Oliveira de Azeméis";"Aveiro";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Área Metropolitana do Porto";"256682432";"agenciaparaiso@viagensparaiso.pt"
" 1872";"2016-12-19";"Agência de Viagens  Minibuses do Sul, Lda.";"501325140";;"Barranco do Rodrigo, Edifício V7 2ºB";"8500-611";"Portimão";"Portimão";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"828426045";"info@mbtravel.lda.pt"
" 2590";"2016-12-30";"Agência de Viagens Arco Íris, Lda.";"507369300";;"Av Júlio Dinis, 10-A, Centro Comercial Apolo 70, Loja 10";"1069-215";"Lisboa";"Lisboa";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"217820566";"geral@viagensarcoiris.com.pt"
" 1729";"2017-04-05";"Agência de Viagens Armarter, Lda.";"500010900";;"Rua da Fábrica, 21-25";"4050-247";"Porto";"Porto";"Porto";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Área Metropolitana do Porto";"222074290";"info@armarter.com"
" 2414";"2017-07-26";"Agência de Viagens Aventouras, Lda.";"506228460";;"Rua António Nobre, 20 (à Av Dias da Silva)";"3000-050";"Coimbra";"Coimbra";"Coimbra";"TURISMO DO CENTRO DE PORTUGAL";"Centro";"Região de Coimbra";"239836435";"info@aventour-as.com"
" 1828";"2017-05-31";"Agência de Viagens Castelo da Lourinhã, Marques &amp; Ferreira, Unipessoal, Lda.";"500862524";;"Av António José de Almeida, 19";"2530-113";"Lourinhã";"Lourinhã";"Lisboa";"TURISMO DO OESTE";"Centro";"Oeste";"261422541, 262789975";"viagenscastelo@sapo.pt, peniche.castelo@gmail.com"
" 1716";"2017-02-13";"Agência de Viagens Delmar, Lda.";"500465568";;"Largo Almeida Garrett, s/n";"3880-127";"Ovar";"Ovar";"Aveiro";"TURISMO DO CENTRO DE PORTUGAL";"Centro";"Região de Aveiro";"256572131";"geral@viagensdelmar.pt"
" 2095";"2017-07-03";"AGENCIA DE VIAGENS E TRANSPORTES ALVES LDA";"503256706";;"Rua Central - Edificio Jardim, Loja 26";"4835-259";"Guimarães";"Guimarães";"Braga";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Ave";"253 532685";"contabilidade@agenciaalves.com"
" 1715";"2016-10-31";"Agência de Viagens e Turismo Barbosa, Unipessoal, Lda";"500010919";;"Largo do Rossio, 6";"3510-105";"Viseu";"Viseu";"Viseu";"TURISMO DO CENTRO DE PORTUGAL";"Centro";"Região Viseu - Dão Lafões";"232425242/23243";"geral@agenciabarbosa.com"
" 1771";"2016-12-19";"Agência de Viagens e Turismo Caima, Lda.";"500010927";;"Av Dr. António José de Almeida, 362";"3720-239";"Oliveira de Azeméis";"Oliveira de Azeméis";"Aveiro";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Área Metropolitana do Porto";"256682802";"caima@caima.webside.pt"
" 1769";"2016-12-05";"Agência de Viagens e Turismo Canedo, Lda.";"501070486";;"Av Rodrigues de Freitas, 80";"4300-455";"Porto";"Porto";"Porto";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Área Metropolitana do Porto";"225193970";"geral@canedoviagens.com"
