"Tipologia";"Nº de Registo";"Nome";"Marcas";"Categoria";"Estado da Classificação";"Capacidade";"Número de Unidades de Alojamento";"Número de Unidades de Alojamento com Mobilidade Reduzida";"Localização (Endereço)";"Localização (Código Postal)";"Localização (Localidade)";"Localização (Concelho)";"Localização (Distrito)";"Localização (Latitude)";"Localização (Longitude)";"Contactos (Telefone)";"Contacto (Fax)";"Contacto (Email)";"Contacto (Página Internet)";"DRT/ERT";"NUT II";"NUT III";"Periodos de Encerramento";"Utilidade Turística";"Imóvel Classificado de Interesse";"Número de Restaurantes";"Salas de reunião";"Capacidade das salas de reunião";"SPA";"Piscinas Exteriores";"Piscinas Interiores";"Ténis";"Ginásio";"Golfe";"Outras";"Tipo de Certificação Qualidade";"Tipo de Certificação Ambiental";"Entidade Exploradora";"Entidades Públicas Financiadoras"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"5084(Em análise pelo Turismo de Portugal, I.P.)";" MONTE DA AMENDOEIRA E DA CABIDINHA";" MONTE DA AMENDOEIRA E DA CABIDINHA";;"Classificado em projeto";"8";"4";"1";"Herdade da Amendoeira e Cabidinha";"7005-130";"Azaruja";"Évora";"Évora";;;"932530195";;"gmarquezcorreia@hotmail.com";;"TURISMO DO ALENTEJO, E.R.T.";"Alentejo";"Alentejo Central";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"GON?ALO MIGUEL SANTOS SILVA MARQUES CORREIA";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"5224";" Monte da Barroca";"Monte da Barroca";;"Classificado em auditoria";"12";"7";"1";"Herdade da Barroca";"7100-213";"Évora Monte";"Estremoz";"Évora";;;"932530195";;"gmarquezcorreia@hotmail.com";;"TURISMO DO ALENTEJO, E.R.T.";"Alentejo";"Alentejo Central";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"MIGUEL MARQUES CORREIA";"Programa de Desenvolvimento Rural (PRODER), "
"Estabelecimento Hoteleiro - Hotel";"2915";" Motel Havay Hotel";"Motel Havay";"***";"Classificado em auditoria";"92";"46";"1";"Rua do Barroco, N.º 112";"4465-591";"Leça do Balio";"Matosinhos";"Porto";"41.203328";"-8.621565";"229578800";"229531818";"info@motelhavay.com";"www.motelhavay.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Grande Porto";;"Não";"---";"2";"Não";"0";"Não";"Não";"Sim";"Não";"Não";"Não";"Não";;;"Companhia Portuguesa de Moteis Havay, Lda";
"Apartamento Turístico";"375";" PÁTIOS DA VILA  BOUTIQUE TOURISTIC APARTMENTS";"	 PÁTIOS DA VILA  BOUTIQUE TOURISTIC APARTMENTS";"***";"Classificado em auditoria";"30";"15";"0";"EIRA DA PEDRA LOTE 1";"7645-258";"Vila Nova de Milfontes";"Odemira";"Beja";"37.724129";"-8.786762";"283 996487";"283998565";"patiosdavila@acbooking.pt";"WWW.PATIOSDAVILA.NET";"TURISMO DO ALENTEJO LITORAL";"Alentejo";"Alentejo Litoral";"2010-10-31-&gt;2011-03-31 Ano em causa:2010, 2016-10-31-&gt;2017-03-31 Ano em causa:2016, ";"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"APARTAMENTOS CASTILHO ALUGUER DE ALOJAMENTOS TURI";
"Apartamento Turístico";"5043";" Quinta Polaris II - Apartamentos Turisticos";"Apartamentos Turisticos Quinta Polaris II";"***";"Classificado em auditoria";"106";"28";"1";"Rua Guiné Bissau - Sitio dos Moinhos";"8400-504";"Carvoeiro Lga";"Lagoa";"Faro";;;"289381551";"289313082";"reservas@garvetur.pt";"www.garvetur.pt";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Garvetur - Agência Imobiliária, S.A.";
"Estabelecimento Hoteleiro - Hotel-apartamento";"365";" Santa Eulalia Hotel Apartamento &amp; SPA";"Santa Eulália Beach Club";"****";"Classificado em auditoria";"266";"129";"1";"Estrada de Santa Eulalia";"8200-318";"Albufeira";"Albufeira";"Faro";"37.091028";"-8.217838";"289587496";"289587499";"santaeulalia@conforhoteis.pt";"wwwhotolsdpanchoandsteulalia.com";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"2015-11-15-&gt;2015-12-31 Ano em causa:2015, 2016-01-01-&gt;2016-03-21 Ano em causa:2016, ";"Não";"---";"1";"Não";"0";"Não";"Sim";"Sim";"Não";"Não";"Não";"Não";;;"CONFORHOTEIS GESTÃO DE HOTEIS LDA";
"Apartamento Turístico";"3090(Em análise pelo Turismo de Portugal, I.P.)";" São Paulo";"Apartamentos São Paulo";"***";"Classificado em auditoria";"22";"11";"0";"Rua Pimenta Aguiar, 2";"9000-026";"Funchal";"Funchal";"Ilha da Madeira";"32.648987";"-16.915255";"291741931";"291741946";"inturmed@apartamentossaopaulo.com";"www.apartamentossaopaulo.com";"Secretaria Regional do Turismo e Transportes - RA Madeira";"Região Autónoma da Madeira";"Região Autónoma da Madeira";;"Não";"---";"0";"Sim";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"INTURMED INVESTIMENTOS TURISTICOS LDA";
"Estabelecimento Hoteleiro - Hotel";"752";" Serafim Hotel";"Residencial Serafim";"**";"Classificado em auditoria";"24";"13";"0";"Rua do Afonso";"7700-053";"Almodôvar";"Almodôvar";"Beja";"37.512841";"-8.059480";"286660010";"286660019";"hotelserafim@mail.telepac.pt";"www.hotelserafim.pt";"TURISMO DO ALENTEJO, E.R.T.";"Alentejo";"Baixo Alentejo";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Maria de Jesus Soares - unipessoal, Lda";"Outra, "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"3687";" Solar de Oura SO37 Vasco Manuel Gonçalves Fonseca de Carvalho";;;"Classificado em auditoria";"16";"8";"0";"Rua do Olmo,37";"5425-206";"Oura";"Chaves";"Vila Real";"41.617714";"-7.563843";"276999070";"276999070";"info@solardeoura.pt";"www.solardeoura.pt";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Trás-os-Montes";;"Não";"Nacional";"0";"Sim";"20";"Não";"Não";"Não";"Não";"Não";"Não";"Sim";;;"Vasco Manuel Gonçalves Fonseca de Carvalho";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5940";""Casa de Campo - Caminho da Vila"";"Casa da Avó Velhinha";;"Classificado em auditoria";"2";"1";"0";"Lugar de Outeiro - Arcozelo - Ponte de Lima";"4990-246";"Ponte de Lima";"Ponte de Lima";"Viana do Castelo";;;"962537014";;"caminhodavila@gmail.com";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Luís Miguel Rodrigues Morais";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5403";""Casas da Colmeia"";;;"Classificado em auditoria";"8";"4";"1";"RUA DAS COLMEIAS";"6320-101";"Baraçal Sbg";"Sabugal";"Guarda";;;"969680941";;"susetecosta77@sapo.pt";;"TURISMO SERRA DA ESTRELA";"Centro (P)";"Beira Interior Norte";;"Não";"Nacional";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"SUSETE PIRES COSTA";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5589";"12 Meses NATURalMENTE";"12 Meses NATUR al MENTE";;"Classificado em auditoria";"12";"6";"1";"Quinta Fonte da Casa , Portela da Cerdeira";"3305-050";"Cerdeira Agn";"Arganil";"Coimbra";;;"968068676";;"info@12meses-turismo.com";"www.12meses-turismo.com";"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Pinhal Interior Norte";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"12 MESES NATURALMENTE LDA";"Programa de Desenvolvimento Rural (PRODER), "
"Estabelecimento Hoteleiro - Hotel";"4242";"9HOTEL MERCY";"9HOTEL MERCY";"****";"Classificado em auditoria";"94";"47";"1";"Rua da Misericordia, 74 a 78";"1200-273";"Lisboa";"Lisboa";"Lisboa";"38.712311";"-9.142951";"212481480";"212481489";"info@mercyhotel.com";"www.mercyhotel.com";"TURISMO DE LISBOA E VALE DO TEJO";"Lisboa";"Grande Lisboa";;"Não";"---";"2";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"MAJOPAT, UNIPESSOAL LDA.";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4411";"A Casa da Lena";;;"Classificado em auditoria";"5";"3";"0";"Sobral Fernando";"6150-736";"Sobreira Formosa";"Proença-a-Nova";"Castelo Branco";"39.735325";"-7.763321";"965762025";;"helena.fernandes61@gmail.com";"http:sobralfernando.blogspot.pt/";"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Pinhal Interior Sul";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Maria Helena Ribeiro Fernandes";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5797";"A Casa de Salsas";"A Casa de Salsas";;"Classificado em auditoria";"12";"6";"1";"Rua de S. Roque, n.º 12";"5300-845";"Salsas";"Bragança";"Bragança";;;"919735939";;"florapsilva@gmail.com";"www.acasadesalsas.pt";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Trás-os-Montes";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"AMELIA &amp; SILVA - TURISMO E TRADIÇÃO LDA";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo de Habitação";"4395";"A CASA DO TIO TENENTE ALOJAMENTO TURÍSTICO";"A CASA DO TIO TENENTE";;"Classificado em auditoria";"10";"10";"0";"CASTANHEIRA CIMEIRA ERMIDA";"6100-385";"Ermida Srt";"Sertã";"Castelo Branco";"39.815144";"-7.940618";"965650030";;"acasadotiotenente@gmail.com";"www.acasadotiotenente.com/";"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Pinhal Interior Sul";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"A CASA DO TIO TENENTE, ALOJAMENTO TURÍSTICO, LDA.";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"727";"A Casinha";;;"Classificado em auditoria";"4";"2";"0";"Quinta de Coalhos    Est Nac 118   Coalhos";"2205-306";"Pego";"Abrantes";"Santarém";"39.451637";"-8.176746";"961620816";"241833678";"quintadecoalhos@mail.telepac.pt";"www.quintadecoalhos.com";"TURISMO DE LISBOA E VALE DO TEJO";"Centro (P)";"Médio Tejo";;"Não";"Local";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"SOC AGRICOLA GODINHO E ALBERTY LDA";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4731";"A Churra";"Chão do Rio -  turismo de aldeia";;"Classificado em auditoria";"2";"1";"0";"R. Calçada Romana - Chão do Rio";"6270-604";"Travancinha";"Seia";"Guarda";;;"919523269";;"chaodorio@chaodorio.pt";"www.chaodorio.pt";"TURISMO SERRA DA ESTRELA";"Centro (P)";"Serra da Estrela";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"YELLOWTREE UNIPESSOAL LDA";"Turismo de Portugal, I.P., Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4732";"A Cotovia";"Chão do Rio - turismo de aldeia";;"Classificado em auditoria";"2";"1";"0";"R. da Calçada Romana - Chão do Rio";"6270-604";"Travancinha";"Seia";"Guarda";;;"919523269";;"chaodorio@chaodorio.pt";"www.chaodorio.pt";"TURISMO SERRA DA ESTRELA";"Centro (P)";"Serra da Estrela";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"YELLOWTREE UNIPESSOAL LDA";"Turismo de Portugal, I.P., Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Hotel Rural";"3870";"A COUTADA";"A Coutada";"***";"Classificado em auditoria";"70";"36";"1";"Quinta da Coutada - Atouguia da Baleia";"2525-026";"Atouguia da Baleia";"Peniche";"Leiria";"0.000000";"0.000000";"262757050";"262757059";"info@coutada-turismo.com";"www.coutada-turismo.com";"TURISMO DO OESTE";"Centro (P)";"Oeste";;"Não";"---";"2";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"A COUTADA SOC EMPREENDIMENTOS TURISTICOS LDA";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"3519";"A Cumeada";"Chão do Rio - turismo de aldeia";;"Classificado em auditoria";"4";"2";"0";"Chão do Rio - Calçada Romana";"6270-604";"Travancinha";"Seia";"Guarda";"40.418757";"-7.823081";"919523269";;"chaodorio@chaodorio.pt";"www.chaodorio.pt";"TURISMO SERRA DA ESTRELA";"Centro (P)";"Serra da Estrela";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"YELLOWTREE UNIPESSOAL LDA";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5171";"Á Espera no Monte";;;"Classificado em auditoria";"8";"4";"0";"Courela das Macieiras  - Monte da Caveira, Melides";"7570-454";"Melides";"Grândola";"Setúbal";;;"213853545";;"eva.mendes@ilimitadapub.com";;"TURISMO DO ALENTEJO LITORAL";"Alentejo";"Alentejo Litoral";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"MERECIDO DESCANSO LDA";
"Estabelecimento Hoteleiro - Hotel-apartamento";"1478";"A Floresta do José";"A Floresta";"**";"Classificado em auditoria";"32";"18";"0";"Estrada Vale do Lobo";"8135-855";"Almancil";"Loulé";"Faro";"37.073549";"-8.049202";"289398918";"289394085";"mail@apartamentosfloresta.com";"www.apartamentosfloresta.com";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Sousa Investimentos Turisticos Lda";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"1613";"A Lagosta Perdida - Turismo Rural, Lda";;;"Classificado em auditoria";"12";"6";"0";"Rua da Fonte - Aldeia de Montesinho";"5300-542";"França";"Bragança";"Bragança";"41.939398";"-6.764467";"273919031";"273919032";"lagostaperdida@lagostaperdida.com";"www.lagostaperdida.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Trás-os-Montes";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"A LAGOSTA PERDIDA TURISMO RURAL LDA";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4733";"A Loba";"Chão do Rio - turismo de aldeia";;"Classificado em auditoria";"2";"1";"0";"R. da Calçada Romana - Chão do Rio";"6270-604";"Travancinha";"Seia";"Guarda";;;"919523269";;"chaodorio@chaodorio.pt";"www.chaodorio.pt";"TURISMO SERRA DA ESTRELA";"Centro (P)";"Serra da Estrela";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"YELLOWTREE UNIPESSOAL LDA";
"Estabelecimento Hoteleiro - Hotel";"5578";"A Ponte";"A Ponte";"*";"Classificado em auditoria";"21";"11";"1";"Rua do Poço Pescadouro n.º 32";"4900-782";"Viana do Castelo";"Viana do Castelo";"Viana do Castelo";;;"+351258831469";;"reservas@a-ponte.pt";"www.a-ponte.pt";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Manuel Luis Parente Morais";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4734";"A Ribeira";"Chão do Rio - turismo de aldeia";;"Classificado em auditoria";"2";"1";"0";"R. Calçada Romana - Chão do Rio";"6270-604";"Travancinha";"Seia";"Guarda";;;"919523269";;"chaodorio@chaodorio.pt";"www.chaodorio.pt";"TURISMO SERRA DA ESTRELA";"Centro (P)";"Serra da Estrela";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"YELLOWTREE UNIPESSOAL LDA";"Turismo de Portugal, I.P., Programa de Desenvolvimento Rural (PRODER), "
"Estabelecimento Hoteleiro - Hotel";"4684";"A Vileira Sociedade Hoteleira e Turistica lda";;"**";"Classificado em auditoria";"24";"12";"0";"avenida de alcanices 1";"5230-308";"Vimioso";"Vimioso";"Bragança";;;"273518200";"273518203";"vileira@gmail.com";"www.vileira.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Trás-os-Montes";;"Não";"---";"1";"Sim";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"VILEIRA SOC HOTELEIRA E TURISTICA LDA";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5938";"Abetarda Agroturismo";"ABETARDA";;"Classificado em auditoria";"18";"9";"0";"RUA GONÇALVES CORREIA N 39";"7780-536";"São Marcos da Ataboeira";"Castro Verde";"Beja";;;"286923913";;"m.amado@wanadoo.fr";;"TURISMO DO ALENTEJO, E.R.T.";"Alentejo";"Baixo Alentejo";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"ABETARDA - AGRO-TURISMO, UNIPESSOAL, LDA";
"Estabelecimento Hoteleiro - Hotel";"1208";"Abrantur, Sociedade de Turismo, SA";"Hote Abrantur";"***";"Classificado em auditoria";"135";"54";"0";"Estrada Nacional 118, km 142.100";"2205-324";"Pego";"Abrantes";"Santarém";"39.459519";"-8.143931";"241 833 464";"241 833 287";"abrantur-hotel@mail.telepac.pt";"www.abranturhotel.com";"TURISMO DE LISBOA E VALE DO TEJO";"Centro (P)";"Médio Tejo";;"Não";"---";"1";"Sim";"220";"Não";"Sim";"Não";"Sim";"Não";"Não";"Sim";;;"ABTANTUR-SOCIEDADE DE TURISMO DE ABRANTES SA";"Turismo de Portugal, I.P., "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4901";"Abrigo da Madalena";;;"Classificado em auditoria";"2";"1";"0";"Lugar de Arca";"4990-205";"Ponte de Lima";"Ponte de Lima";"Viana do Castelo";;;"258240201";"258240238";"info@arc-otel.pt";"www.lagoas.cm-pontedelima.pt";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Veiga &amp; Marinho, LDA";
"Empreendimento de Turismo no Espaço Rural - Hotel Rural";"5669";"Abrigo da Montanha - Hotel Rural &amp; SPA";;"****";"Classificado em auditoria";"42";"21";"1";"Rua do Comércio, 46";"6270-151";"Sabugueiro Sei";"Seia";"Guarda";;;"238315329";"238315262";"info@abrigodamontanha.com.pt";"www.abrigodamontanha.com.pt";"TURISMO SERRA DA ESTRELA";"Centro (P)";"Serra da Estrela";;"Não";"---";"1";"Sim";"30";"Sim";"Não";"Sim";"Não";"Não";"Não";"Não";;;"PROJETO ( O ABRIGO DA MONTANHA II - EMPREENDIMENT";
"Apartamento Turístico";"3172";"Açorsonho Apartamentos Turisticos";;"****";"Por reconverter";"100";"26";"0";"Rua do Navio nº 47";"9545-140";"Capelas";"Ponta Delgada";"Ilha de São Miguel";"37.833649";"-25.689468";"296 980 090";"296 980 092";"gerencia@acorsonho.com";"www.acorsonho.com";"Direcção Regional do Turismo - Secretaria Regional Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Sim";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Sim";"Não";;;"Açorsonho Hotéis";
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"5066";"Acquavilla";"Acquavilla";;"Classificado em auditoria";"18";"9";"1";"Rua do Lagar, nº8, Ponte de Assamaça";"3100-357";"Pombal";"Pombal";"Leiria";;;"936403041";;"naturepom@gmail.com";;"TURISMO DE LEIRIA-FÁTIMA";"Centro (P)";"Pinhal Litoral";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"NATUREPOM ACTIVIDADES TURISTICAS LDA";
